file_name;predicted;true;cv_step;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_1.wav;italy-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_2.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_3.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_4.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_5.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_6.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_7.wav;spain-ambulance;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_8.wav;italy-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_9.wav;spain-police;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-ambulance/fr_a_10.wav;spain-ambulance;france-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-firefighter/fr_f_3.wav;spain-police;france-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-firefighter/fr_f_6.wav;spain-police;france-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-firefighter/fr_f_10.wav;spain-ambulance;france-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-police/fr_p_1.wav;italy-police;france-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country/france-police/fr_p_2.wav;spain-firefighter;france-police;1;
